Modelo,Kilometraje,Año,Nom_distribuidor,Precio
Jetta,"43,183 Miles",2017,CarMax Brooklyn Park - Now Offering Curbside Pickup,"$18,998"
Golf R,"54,682 Miles",2016,CarMax Capitol Expressway - Now Open,"$31,998"
Jetta,"87,585 Miles",2015,CarMax Plano - Now Offering Curbside Pickup And Home Delivery,"$14,998"
Passat,"64,144 Miles",2016,CarMax Ft. Lauderdale - Now Offering Curbside Pickup And Home Delivery,"$16,998"
Tiguan,"28,959 Miles",2018,CarMax Killeen - Now Offering Curbside Pickup And Home Delivery,"$21,998"
Jetta,"46,804 Miles",2017,CarMax Omaha - Now Offering Curbside Pickup,"$17,998"
Touareg,"53,590 Miles",2017,CarMax Rivergate - Now Offering Curbside Pickup,"$31,998"
Passat,"40,191 Miles",2016,CarMax Cool Springs - Now Offering Curbside Pickup,"$18,998"
Jetta,"62,366 Miles",2016,CarMax Lynnwood - Now Offering Curbside Pickup,"$15,998"
Jetta,"69,527 Miles",2014,CarMax Clearwater - Now Offering Curbside Pickup And Home Delivery,"$14,599"
Golf R,"9,886 Miles",2019,CarMax West Sahara - Now Offering Curbside Pickup And Home Delivery,"$44,998"
Jetta,"14,970 Miles",2019,CarMax South Broadway - Now Offering Curbside Pickup And Home Delivery,"$19,998"
Jetta,"22,769 Miles",2019,CarMax Westborough - Now Offering Curbside Pickup,"$19,998"
Golf SportWagen,"15,234 Miles",2018,CarMax Salem - Now Offering Curbside Pickup,"$24,998"
Arteon,"12,138 Miles",2019,CarMax Costa Mesa - Now Offering Curbside Pickup And Home Delivery,"$29,998"
Tiguan,"28,934 Miles",2019,CarMax South Boulevard - Now Offering Curbside Pickup And Home Delivery,"$23,998"
Jetta,"48,183 Miles",2019,CarMax LAX - Now Offering Curbside Pickup And Home Delivery,"$20,998"
Tiguan,"10,391 Miles",2018,CarMax Capital Boulevard - Now Offering Curbside Pickup And Home Delivery,"$31,998"
Jetta,"40,448 Miles",2017,CarMax Beaverton - Now Offering Curbside Pickup,"$19,998"
Tiguan,"8,757 Miles",2020,CarMax South Boulevard - Now Offering Curbside Pickup And Home Delivery,"$39,998"
Jetta,"43,183 Miles",2017,CarMax Brooklyn Park - Now Offering Curbside Pickup,"$18,998"
Golf R,"54,682 Miles",2016,CarMax Capitol Expressway - Now Open,"$31,998"
Jetta,"87,585 Miles",2015,CarMax Plano - Now Offering Curbside Pickup And Home Delivery,"$14,998"
Passat,"64,144 Miles",2016,CarMax Ft. Lauderdale - Now Offering Curbside Pickup And Home Delivery,"$16,998"
Tiguan,"28,959 Miles",2018,CarMax Killeen - Now Offering Curbside Pickup And Home Delivery,"$21,998"
Jetta,"46,804 Miles",2017,CarMax Omaha - Now Offering Curbside Pickup,"$17,998"
Touareg,"53,590 Miles",2017,CarMax Rivergate - Now Offering Curbside Pickup,"$31,998"
Passat,"40,191 Miles",2016,CarMax Cool Springs - Now Offering Curbside Pickup,"$18,998"
Jetta,"62,366 Miles",2016,CarMax Lynnwood - Now Offering Curbside Pickup,"$15,998"
Jetta,"69,527 Miles",2014,CarMax Clearwater - Now Offering Curbside Pickup And Home Delivery,"$14,599"
Golf R,"9,886 Miles",2019,CarMax West Sahara - Now Offering Curbside Pickup And Home Delivery,"$44,998"
Jetta,"14,970 Miles",2019,CarMax South Broadway - Now Offering Curbside Pickup And Home Delivery,"$19,998"
Jetta,"22,769 Miles",2019,CarMax Westborough - Now Offering Curbside Pickup,"$19,998"
Golf SportWagen,"15,234 Miles",2018,CarMax Salem - Now Offering Curbside Pickup,"$24,998"
Arteon,"12,138 Miles",2019,CarMax Costa Mesa - Now Offering Curbside Pickup And Home Delivery,"$29,998"
Tiguan,"28,934 Miles",2019,CarMax South Boulevard - Now Offering Curbside Pickup And Home Delivery,"$23,998"
Jetta,"48,183 Miles",2019,CarMax LAX - Now Offering Curbside Pickup And Home Delivery,"$20,998"
Tiguan,"10,391 Miles",2018,CarMax Capital Boulevard - Now Offering Curbside Pickup And Home Delivery,"$31,998"
Jetta,"40,448 Miles",2017,CarMax Beaverton - Now Offering Curbside Pickup,"$19,998"
Tiguan,"8,757 Miles",2020,CarMax South Boulevard - Now Offering Curbside Pickup And Home Delivery,"$39,998"
